variable,description,from_file
food_hungry,Ever Hungry and Don't Eat,hh
food_lostweight,Not Enough Food + Lost Weight ,hh
food_skipday,Skip Eating for Full Day,hh
n_skipday,Num. Days All Meals Skipped in Last Month,hh
grocerylist_always,Always Use Grocery List,hh
grocerylist_never,Never Use Grocery List,hh
largeexp,Recent Unusually Large Expense,hh
snaplastamt_r ,Last SNAP Amount,hh
usdafoods,Receives USDA Foods,hh
anypregnant,Pregnancy in HH,hh
wichh ,WIC Participant in HH,hh
tanf_hh,TANF Participant in HH,event
mealdelivery,Community Meal Delivery Program Participant,hh
mealfacility,Received Meals from Comm. Center,hh
primstore_grocery,Primary Store: Grocery Store,hh
primstore_superstore,Primary Store: Super Store,hh
primstore_supermkt,Primary Store: Supermarket,hh
primstore_club,Primary Store: Club,hh
primstore_dollar,Primary Store: Dollar Store,hh
primstore_conv,Primary Store: Convenience Store,hh
primstore_fm,Primary Store: Farmer's Market,hh
primstore_coop,Primary Store: Co-op,hh
primstore_other,Primary Store: Other,hh
primstoretraveltime ,Travel Time to Primary Store,hh
primstoreprices ,Primary Store: Good Prices ,hh
primstoremeat ,Primary Store: Good Meat ,hh
primstorequality,Primary Store: Good Quality,hh
primstorevariety ,Primary Store: Good Variety,hh
primstorespecial ,Primary Store: Specialty Foods,hh
primstoreclose ,Primary Store: Close,hh
primstoreloyalty, Primary Store: Loyalty Program,hh
primstore_trav_owncar ,Primary Store Travel: by Own Car,hh
primstore_trav_othcar,Primary Store Travel: by Other's Car,hh
primstore_trav_walk,Primary Store Travel: Walk,hh
primstore_trav_bus,Primary Store Travel: Bus,hh
primstore_trav_taxi,Primary Store Travel: Taxi,hh
primstore_trav_bike,Primary Store Travel: Bike,hh
primstore_trav_other,Primary Store Travel: Other,hh
no_supermarket,No Feasible Supermarket,hh
foodstorenum,Num. Food Stores Shopped At,hh
foodpantry,Used a Food Bank or Pantry,hh
pr_diet_exc,Primary Respondent Diet: Excellent,hh
pr_diet_goodvgood,Primary Respondent Diet: Good/Very Good,hh
pr_diet_fair,Primary Respondent Diet: Fair,hh
pr_diet_poor,Primary Respondent Diet: Poor,hh
hh_diet_exc,HH Diet: Excellent,hh
hh_diet_goodvgood,HH Diet: Good/Very Good,hh
hh_diet_fair,HH Diet: Fair,hh
hh_diet_poor,HH Diet: Poor,hh
healthycost,Costs Too Much to Eat Healthy,hh
hh_eat_healthy,HH Eats Healthy,hh
fruitsveg_more,Should Eat More Fruits/Veg.,hh
use_nutfacts,Use Nutrition Facts Always/Most of Time,hh
anyvegetarian,Any Vegetarian in HH,hh
anyfoodallergy,Any Food Allergy in HH,hh
allergywheat,Any Wheat Allergy in HH,hh
allergyegg,Any Egg Allergy in HH,hh
allergymilk,Any Milk Allergy in HH,hh
allergyfish,Any Fish Allergy in HH,hh
allergyshellfish,Any Shellfish Allergy in HH,hh
allergycorn,Any Corn Allergy in HH,hh
allergypeanut,Any Peanut Allergy in HH,hh
allergyothnut,Any Nut Allergy in HH,hh
allergysoy,Any Soy Allergy in HH,hh
anytobacco,Any HH Member Uses Tobacco,hh
anyillness,Recent Major Illness,hh
fincondition,Financial Condition Index,hh
fincon_comf,Finances: Comfortable and Secure,hh
fincon_able,Finances: Able to Make Ends Meet,hh
fincon_somediff,Finances: Some Difficulty Making Ends Meet,hh
fincon_tough,Finances: Tough Making Ends Meet,hh
fincon_over,Finances: In Over Your Head,hh
billsontime_always,Bills: Always on Time,hh
billsontime_usual,Bills: Usually on Time,hh
billsontime_some,Bills: Sometimes on Time,hh
billsontime_rare,Bills: Rarely on Time,hh
billsontime_never,Bills: Never on Time,hh
billsontimefreq,On-Time Bill Pay Frequency Index,hh
pay_issues,Recent Bill Payment Issues,hh
util_issues,Recent Utility Payment Issues,hh
cashadv6mos,Recent Cash Advance,hh
paydayloan6mos,Recent Payday Loan,hh
nutritionsearch ,Search Internet for Nutrition Info in Last 2 Months,hh
shopbig ,Shop at Big Box Store,hh
shopspec ,Shop at Specialty Stores,hh
shopconv,Shop at Convenience Store,hh
shopdollar ,Shop at Dollar Store ,hh
n_tobacco,Num. HH Members who use Tobacco,indiv
n_health_exc ,Num. HH Members in Excellent Health,indiv
n_health_vgood,Num. HH Members in Very Good Health,indiv
n_health_good,Num. HH Members in Good Health,indiv
n_health_fair,Num. HH Members in Fair Health,indiv
n_health_poor,Num. HH Members in Poor Health,indiv
n_overwgt ,Num. Overweight HH Members,indiv
n_obese,Num. Obese HH Members,indiv
n_free_lunch,Num. Kids Receiving Free School Lunch,indiv
n_free_brkfst,Num. Kids Receiving Free School Breakfast,indiv
n_school_lunch,Num. Weekday Lunches Received at School,indiv
n_school_brkfst,Num. Weekday Breakfasts Received at School,indiv
pct_school_lunch,Pct. Weekdays with School Lunch,indiv
pct_school_brkfst,Pct. Weekdays with School Breakfast,indiv
pct_free_lunch,Share Kids Receiving Free School Lunch,indiv
pct_free_brkfst,Share Kids Receiving Free School Breakfast,indiv
snap1,Num. SNAP Retailers in 1/4 mi,hh
snap2,Num. SNAP Retailers in 1/2 mi,hh
snap3,Num. SNAP Retailers in 1 mi,hh
snap4,Num. SNAP Retailers in 2 mi,hh
snap5,Num. SNAP Retailers in 5 mi,hh
snap6,Num. SNAP Retailers in 10 mi,hh
snap7,Num. SNAP Retailers in 15 mi,hh
snap8,Num. SNAP Retailers in 30 mi,hh
